MasterFile,Mode,Disadvantaged_Com_ID,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit_RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Roadway Departure,Median Cross-over
72304940,Motor Vehicle,DAC,20190119,1156,N,Y,3.255,0,0,2,2,N,N,Y,37.61468,-84.77447,5,6,6,1,5,6,2,N,1157,1206,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72305029,Motor Vehicle,DAC,20190119,1711,N,Y,3.255,0,0,2,2,N,N,Y,37.61468,-84.77447,5,2,6,1,5,6,2,N,1711,1714,N,2019,O,0,0,0,0,0,0,0,0,0,0,0,0
72305470,Motor Vehicle,DAC,20190118,2013,N,N,0.323,0,0,2,2,Y,N,Y,37.61839,-84.76881,8,0,6,1,1,2,5,N,2014,2031,N,2019,O,0,0,0,0,0,0,1,1,0,0,1,0
72305697,Motor Vehicle,DAC,20190121,1253,N,Y,4.401,0,0,2,2,Y,N,Y,37.63115,-84.77483,5,2,6,1,4,2,2,N,1255,1300,N,2019,O,0,0,0,0,0,0,0,0,0,0,0,0
72305710,Motor Vehicle,DAC,20190121,1151,N,Y,5.326,0,0,2,2,N,Y,Y,37.64488,-84.77417,1,2,6,1,1,2,2,N,1151,1155,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72305939,Motor Vehicle,DAC,20190121,2304,N,N,3.442,1,0,2,2,N,N,Y,37.61745,-84.77445,4,2,6,1,1,2,3,Y,2306,2306,N,2019,C,0,0,1,0,0,0,1,1,0,0,0,0
72305964,Motor Vehicle,Non DAC,20190122,730,N,N,0.058,0,0,1,1,N,N,Y,37.6517,-84.765,9,2,4,1,1,2,2,N,732,736,N,2019,O,0,0,0,0,0,0,0,0,0,0,1,0
72306068,Motor Vehicle,DAC,20190114,636,N,Y,13.314,0,0,2,2,N,N,Y,37.64586,-84.78579,5,2,6,1,2,2,5,N,636,706,N,2019,O,0,0,0,1,0,0,1,1,0,0,0,0
72306620,Motor Vehicle,DAC,20190123,1416,N,Y,4.942,0,0,2,2,N,N,Y,37.63872,-84.77314,1,2,6,1,5,6,2,N,1416,1421,N,2019,O,0,0,1,0,0,0,0,1,0,0,0,0
72306968,Motor Vehicle,Non DAC,20190120,1340,N,N,10.667,0,0,1,1,N,N,Y,37.61957,-84.82381,9,2,5,1,4,2,2,N,1340,1355,N,2019,O,0,0,0,0,0,0,0,0,0,0,1,0
72307818,Motor Vehicle,DAC,20190126,401,N,Y,0.152,0,0,2,2,N,N,Y,37.64348,-84.77105,5,2,6,1,4,9,5,N,401,414,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72307889,Motor Vehicle,DAC,20190126,911,N,N,0.179,0,0,2,2,N,N,Y,37.61988,-84.77784,1,2,1,1,4,9,2,N,911,918,N,2019,O,0,0,0,0,0,0,0,1,0,0,0,0
72308391,Motor Vehicle,DAC,20190126,1602,N,Y,4.725,0,0,2,2,N,Y,Y,37.63591,-84.775,4,2,5,1,1,2,2,N,1601,1607,N,2019,O,0,0,0,1,0,0,1,0,0,0,0,0
72308592,Motor Vehicle,DAC,20190126,1812,N,N,0.288,0,0,1,1,N,N,Y,37.62803,-84.772,9,2,6,1,1,2,6,N,1817,1822,N,2019,O,0,0,0,1,0,0,1,0,0,0,1,0
72309005,Motor Vehicle,DAC,20190128,1821,N,Y,0.218,0,0,2,2,N,N,Y,37.64891,-84.77216,5,2,6,1,1,2,5,N,1821,1821,N,2019,O,0,0,1,0,0,0,1,0,0,0,0,0
72309743,Motor Vehicle,Non DAC,20190130,1343,N,Y,2.274,1,0,1,1,N,N,Y,37.6771,-84.76444,9,2,6,1,1,2,2,Y,1343,1347,N,2019,C,0,0,0,0,0,0,0,0,0,0,0,0
72310229,Motor Vehicle,Non DAC,20190131,1409,N,Y,3.575,0,0,2,2,N,N,Y,37.65382,-84.80154,4,4,3,1,1,3,2,N,1409,1413,N,2019,O,0,0,0,1,0,0,0,1,0,0,0,0
72310328,Motor Vehicle,DAC,20190201,1338,N,Y,0,0,0,2,2,N,N,Y,37.64546,-84.76661,5,2,6,1,1,3,2,N,1338,1345,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72310537,Pedestrian,DAC,20190201,1859,N,Y,5.392,1,0,2,1,N,N,Y,37.64592,-84.77403,9,2,6,1,1,2,5,Y,1859,1904,N,2019,C,0,0,0,1,1,0,0,1,0,0,0,0
72310882,Motor Vehicle,Non DAC,20190202,1320,N,N,1.036,1,0,1,1,N,N,Y,37.6608,-84.76844,9,2,6,1,1,2,2,Y,1322,1325,N,2019,C,0,0,0,1,0,0,1,0,0,0,1,0
72310905,Motor Vehicle,DAC,20190202,1326,N,Y,4.211,0,0,2,2,N,N,Y,37.62845,-84.77478,5,3,6,1,1,2,2,N,1326,1330,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72311043,Motor Vehicle,Non DAC,20190129,2006,N,Y,12.338,0,0,2,2,N,N,Y,37.64854,-84.80273,5,4,6,1,1,2,5,N,2006,2010,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72311202,Motor Vehicle,DAC,20190202,1612,N,Y,0.002,0,0,2,2,N,N,Y,37.64946,-84.77916,1,1,4,1,1,2,2,N,1612,1615,N,2019,O,0,0,1,0,0,0,1,1,0,0,0,0
72311273,Motor Vehicle,DAC,20190203,1543,N,Y,5.329,0,0,2,2,N,N,Y,37.6448,-84.7742,1,2,6,1,1,2,2,N,1544,1546,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72311514,Motor Vehicle,DAC,20190204,820,N,N,14.167,0,0,3,3,N,N,Y,37.64142,-84.7633,5,2,6,1,5,2,1,N,820,825,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72311714,Motor Vehicle,Non DAC,20190203,2251,N,N,0.527,0,0,1,1,N,N,Y,37.65592,-84.81069,9,2,6,1,1,2,6,N,2253,2255,N,2019,O,0,0,0,0,0,0,0,0,1,0,1,0
72311715,Motor Vehicle,DAC,20190204,1446,N,Y,0.166,1,0,2,2,N,N,Y,37.61721,-84.77749,1,4,6,1,1,3,2,Y,1445,1450,N,2019,B,0,0,0,1,0,0,1,1,0,0,0,0
72312114,Motor Vehicle,DAC,20190205,1141,N,N,5.441,0,0,2,2,N,N,Y,37.64586,-84.77294,5,2,6,1,1,2,2,N,1141,1149,N,2019,O,0,0,1,0,0,0,1,0,0,0,0,0
72312154,Motor Vehicle,Non DAC,20190205,1614,N,N,3.208,0,0,2,2,N,N,Y,37.64873,-84.80319,5,6,6,1,1,2,2,N,1616,1623,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72312339,Motor Vehicle,DAC,20190205,424,N,N,0.534,0,0,1,1,N,N,Y,37.64937,-84.77759,9,2,4,1,1,2,6,N,428,431,N,2019,O,0,0,0,0,0,0,1,0,0,0,1,0
72312624,Motor Vehicle,DAC,20190206,1715,N,Y,5.523,0,0,2,2,N,N,Y,37.64593,-84.77405,4,2,6,1,5,6,2,N,1715,1715,N,2019,O,0,0,0,1,0,0,1,1,0,0,0,0
72312642,Motor Vehicle,DAC,20190206,1734,N,N,5.595,0,0,2,2,N,N,Y,37.64606,-84.77532,8,2,6,1,5,3,2,N,1734,1734,N,2019,O,0,0,0,0,0,0,1,1,0,0,1,0
72312722,Motor Vehicle,DAC,20190206,2157,N,N,5.328,0,0,2,2,Y,Y,Y,37.64483,-84.77421,8,2,6,1,5,3,5,N,2159,2206,N,2019,O,0,0,0,0,0,0,1,0,0,0,1,0
72313106,Motor Vehicle,Non DAC,20190207,1757,N,Y,11.882,0,0,1,1,N,N,Y,37.64833,-84.81123,9,2,6,1,1,2,7,N,1757,1800,N,2019,O,0,0,1,0,0,0,0,0,0,0,0,0
72313589,Motor Vehicle,Non DAC,20190208,1906,N,N,15.927,0,0,2,2,Y,N,Y,37.66634,-84.73619,7,2,3,1,1,2,6,N,1906,1920,N,2019,O,0,0,0,1,0,0,0,0,0,0,1,0
72313728,Motor Vehicle,Non DAC,20190208,2218,N,Y,7.057,0,0,1,1,N,N,Y,37.662,-84.78396,9,2,6,1,1,2,7,N,2219,2224,N,2019,O,0,0,0,0,0,0,0,0,0,0,0,0
72313832,Motor Vehicle,DAC,20190209,1309,N,Y,0.62,0,0,2,2,N,N,Y,37.61661,-84.78572,1,4,6,1,1,2,2,N,1312,1315,N,2019,O,0,0,0,1,0,0,0,1,0,0,0,0
72313836,Motor Vehicle,DAC,20190209,1323,N,N,0.272,0,0,1,1,N,N,Y,37.64863,-84.76672,9,2,6,1,1,2,2,N,1325,1330,N,2019,O,0,0,0,0,0,0,1,0,0,0,1,0
72314631,Motor Vehicle,Non DAC,20190211,941,N,Y,1.262,0,0,2,2,N,N,Y,37.62166,-84.79453,5,2,6,1,5,6,2,N,942,947,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72314671,Motor Vehicle,DAC,20190203,2026,N,Y,13.91,0,0,2,2,Y,N,Y,37.64431,-84.76654,1,2,3,1,1,2,5,N,2026,2028,N,2019,O,0,0,0,0,0,0,0,1,0,0,0,0
72314880,Motor Vehicle,Non DAC,20190201,1047,N,Y,12.306,0,0,2,2,N,N,Y,37.64851,-84.80293,5,2,6,1,1,3,2,N,1047,1054,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72315207,Motor Vehicle,DAC,20190212,1634,N,N,0.182,0,0,2,2,N,N,Y,37.61727,-84.77775,5,2,4,1,5,6,2,N,1634,1643,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72316052,Motor Vehicle,Non DAC,20190214,1213,N,Y,3.746,0,0,2,2,N,N,Y,37.65538,-84.79912,1,2,6,1,1,3,2,N,1213,1215,N,2019,O,0,0,1,0,0,0,0,0,0,0,0,0
72317114,Motor Vehicle,DAC,20190217,1448,N,N,5.478,0,0,2,2,N,N,Y,37.64594,-84.77343,8,2,6,1,5,3,2,N,1448,1459,N,2019,O,0,0,0,1,0,0,0,1,0,0,1,0
72317377,Motor Vehicle,DAC,20190213,1115,N,Y,3.438,0,0,2,2,N,N,Y,37.61739,-84.77449,5,6,6,1,1,2,2,N,1115,1120,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72317588,Motor Vehicle,DAC,20190218,2103,N,N,3.373,0,0,2,2,N,N,Y,37.61648,-84.77461,1,2,6,1,1,2,5,Y,2103,2106,N,2019,O,0,0,1,0,0,0,1,1,0,0,0,0
72317736,Motor Vehicle,DAC,20190219,1007,N,Y,4.182,1,0,2,2,N,N,Y,37.62798,-84.77475,4,2,6,1,1,2,2,Y,1007,1027,N,2019,C,0,0,1,1,0,0,1,0,0,0,0,0
72317851,Motor Vehicle,DAC,20190219,1650,N,N,13.776,0,0,2,2,N,N,Y,37.64553,-84.76773,5,2,6,1,1,2,2,N,1653,1655,N,2019,O,0,0,0,0,0,0,0,0,0,0,0,0
72317985,Motor Vehicle,Non DAC,20190219,2253,N,Y,12.208,0,0,2,2,N,N,Y,37.64855,-84.80512,1,6,6,1,5,6,5,N,2253,2257,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72318252,Motor Vehicle,DAC,20190220,703,N,Y,0.001,0,0,2,2,N,N,Y,37.61764,-84.77443,5,4,6,1,5,6,2,N,704,710,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72318362,Motor Vehicle,Non DAC,20190219,1450,N,N,2.419,0,0,2,2,N,N,Y,37.63739,-84.80144,5,2,6,2,1,2,2,N,1450,1458,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72318384,Motor Vehicle,DAC,20190220,2010,N,Y,0.844,0,0,2,2,N,N,Y,37.61713,-84.78972,1,4,1,1,5,3,6,N,2010,2015,N,2019,O,0,0,0,1,0,0,1,1,0,0,0,0
72318662,Motor Vehicle,DAC,20190220,1624,N,Y,0.001,0,0,2,2,N,N,Y,37.61736,-84.77754,1,2,6,1,5,6,2,N,1624,1636,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72318865,Motor Vehicle,Non DAC,20190220,2119,N,N,0.666,0,0,1,1,N,N,Y,37.64482,-84.75459,9,2,3,1,5,6,5,N,2020,2126,N,2019,O,0,0,0,0,0,0,0,0,0,0,1,0
72319265,Motor Vehicle,DAC,20190222,2011,N,Y,0.435,0,0,1,1,N,N,Y,37.63941,-84.77142,9,2,6,1,5,6,5,N,2011,2014,N,2019,O,0,0,0,0,0,0,0,0,0,0,0,0
72319436,Motor Vehicle,Non DAC,20190223,1434,N,N,8.194,0,0,2,2,N,N,Y,37.67695,-84.79081,5,2,6,1,5,3,2,N,1434,1445,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72319525,Motor Vehicle,DAC,20190223,1919,N,Y,5.33,0,0,2,2,N,N,Y,37.64482,-84.77416,1,2,6,1,5,6,5,N,1919,1923,N,2019,O,0,0,0,0,0,0,0,1,0,0,0,0
72319870,Motor Vehicle,DAC,20190224,1934,N,N,0.008,0,0,2,2,N,N,Y,37.61612,-84.77609,1,2,3,1,1,3,5,N,1935,1939,N,2019,O,0,0,1,0,0,0,1,0,0,0,0,0
72320038,Motor Vehicle,DAC,20190225,828,N,Y,0.001,0,0,2,2,N,N,Y,37.6164,-84.7738,1,1,4,1,1,2,2,N,828,832,N,2019,O,0,0,1,0,0,0,1,1,0,0,0,0
72320261,Motor Vehicle,DAC,20190225,1850,N,Y,5.524,1,0,2,2,N,N,Y,37.64592,-84.77403,1,4,6,1,1,2,5,Y,1850,1852,N,2019,C,0,0,0,0,0,0,0,1,0,0,0,0
72320314,Motor Vehicle,Non DAC,20190225,2033,N,Y,8.212,0,0,2,2,N,N,Y,37.67725,-84.79086,1,2,6,1,1,2,5,N,2034,2037,N,2019,O,0,0,1,0,0,0,1,1,0,0,0,0
72320618,Motor Vehicle,Non DAC,20190226,1701,N,N,13.075,0,0,2,2,N,N,Y,37.6391,-84.79211,1,2,6,1,1,2,2,N,1701,1708,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72320717,Motor Vehicle,DAC,20190226,2036,N,N,0.278,0,0,2,2,Y,N,Y,37.64221,-84.77922,7,0,6,1,1,2,2,N,2036,2036,N,2019,O,0,0,0,0,0,0,0,0,0,0,0,0
72321336,Motor Vehicle,DAC,20190228,1134,N,Y,4.911,0,0,2,2,N,N,Y,37.6388,-84.77471,1,2,6,1,1,2,2,N,1135,1138,N,2019,O,0,0,1,1,0,0,1,1,0,0,0,0
72321405,Motor Vehicle,DAC,20190228,1223,N,Y,0.783,0,0,2,2,N,N,Y,37.62097,-84.75304,5,2,4,1,1,3,2,N,1223,1227,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72321605,Motor Vehicle,DAC,20190228,1444,N,N,5.203,0,0,2,2,N,Y,Y,37.64275,-84.77278,8,2,6,1,1,3,2,N,1446,1453,N,2019,O,0,0,0,0,0,0,1,0,0,0,1,0
72321606,Motor Vehicle,DAC,20190228,2113,N,N,3.435,0,0,3,3,Y,N,Y,37.61734,-84.77446,3,2,6,1,5,6,5,N,2114,2116,N,2019,O,0,0,0,0,0,0,1,0,1,0,1,0
72322010,Motor Vehicle,Non DAC,20190301,1610,N,Y,3.717,0,0,2,2,N,N,Y,37.65524,-84.79968,1,2,6,1,5,6,2,N,1610,1615,N,2019,O,0,0,0,1,0,0,1,0,0,0,0,0
72322124,Motor Vehicle,DAC,20190301,1142,N,Y,0.168,0,0,2,2,N,N,Y,37.61718,-84.77751,1,2,6,1,5,6,2,N,1142,1146,N,2019,O,0,0,1,0,0,0,0,1,0,0,0,0
72322329,Motor Vehicle,DAC,20190301,2131,N,N,0.114,1,0,3,3,N,N,Y,37.61658,-84.77238,1,1,4,1,5,3,5,Y,2133,2135,N,2019,C,0,0,1,0,0,0,1,0,1,0,0,0
72322435,Motor Vehicle,Non DAC,20190302,1310,N,Y,15.531,0,0,2,2,N,N,Y,37.6644,-84.74297,5,2,1,1,1,3,2,N,1310,1314,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72322495,Motor Vehicle,DAC,20190303,1225,N,Y,5.194,0,0,2,2,N,N,Y,37.64294,-84.77434,1,2,4,1,5,6,2,N,1225,1225,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72322546,Motor Vehicle,Non DAC,20190301,1225,N,N,1.334,0,0,2,2,N,N,Y,37.62269,-84.79477,8,2,6,1,1,3,2,N,1225,1234,N,2019,O,0,0,0,0,0,0,1,0,0,0,1,0
72323539,Motor Vehicle,DAC,20190305,1503,N,N,5.471,0,0,2,2,N,N,Y,37.64601,-84.77332,8,2,6,1,1,2,2,N,1503,1505,N,2019,O,0,0,0,1,0,0,1,1,0,0,1,0
72323831,Motor Vehicle,Non DAC,20190306,1520,N,Y,0.252,0,0,2,2,N,N,Y,37.65451,-84.7647,5,2,6,1,1,2,2,N,1503,1512,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72324307,Motor Vehicle,Non DAC,20190306,1719,N,Y,8.205,0,0,2,2,N,N,Y,37.67734,-84.7911,8,2,6,1,1,2,2,N,1719,1726,N,2019,O,0,0,0,0,0,0,0,0,0,0,0,0
72324728,Motor Vehicle,Non DAC,20190308,1902,N,Y,1.235,0,0,2,2,N,N,Y,37.62127,-84.79414,5,5,6,1,5,2,5,N,1902,1909,N,2019,O,0,0,0,1,0,0,1,0,0,0,0,0
72325035,Motor Vehicle,DAC,20190309,1920,N,Y,0.001,0,0,2,2,N,N,Y,37.62279,-84.77464,1,5,6,1,5,6,2,N,1657,1706,N,2019,O,0,0,0,1,0,0,1,0,0,0,0,0
72325419,Motor Vehicle,DAC,20190310,1917,N,N,0.403,1,0,1,1,N,N,Y,37.62145,-84.77709,9,2,6,1,1,2,2,Y,1917,1920,N,2019,C,0,0,0,0,0,0,0,0,1,0,1,0
72325474,Motor Vehicle,DAC,20190310,1705,N,N,0.002,0,0,2,2,N,N,Y,37.64885,-84.77054,5,2,6,1,1,2,2,N,1707,1711,N,2019,O,0,0,0,0,0,0,1,1,0,0,0,0
72326664,Motor Vehicle,Non DAC,20190313,1138,N,Y,1.784,0,0,2,2,N,N,Y,37.62873,-84.79754,5,6,6,1,1,2,2,N,1138,1142,N,2019,O,0,0,0,1,0,0,1,1,0,0,0,0
72327752,Motor Vehicle,DAC,20190316,2024,N,N,3.365,0,0,2,2,N,N,Y,37.61654,-84.77462,8,2,6,1,1,2,5,N,2024,2025,N,2019,O,0,0,0,0,0,0,1,1,0,0,1,0
72327889,Motor Vehicle,DAC,20190316,1410,N,Y,3.915,0,0,2,2,N,N,Y,37.62416,-84.77467,1,4,6,1,1,2,2,N,1410,1415,N,2019,O,0,0,0,1,0,0,0,1,0,0,0,0
72327921,Motor Vehicle,DAC,20190314,1209,N,N,5.583,0,0,2,2,N,N,Y,37.64601,-84.77511,1,2,6,1,1,2,2,N,1209,1210,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72328058,Motor Vehicle,Non DAC,20190315,2053,N,Y,12.323,0,0,2,2,Y,N,Y,37.64857,-84.80262,5,2,6,1,1,2,5,N,2053,2102,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72328532,Motor Vehicle,DAC,20190317,304,N,Y,0.195,0,0,4,4,Y,N,Y,37.64874,-84.77377,7,2,6,1,1,2,7,N,305,309,N,2019,O,0,0,0,0,0,0,1,0,0,1,0,0
72328706,Motor Vehicle,Non DAC,20190318,937,N,N,0.259,0,0,2,2,N,N,Y,37.645,-84.76295,2,2,6,1,1,2,2,N,937,941,N,2019,O,0,0,1,0,0,0,1,0,0,0,0,0
72328933,Motor Vehicle,DAC,20190319,1631,N,Y,5.403,0,0,2,2,N,N,Y,37.64582,-84.77244,5,4,6,1,1,2,2,N,1631,1647,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72329320,Motor Vehicle,Non DAC,20190320,1623,N,Y,3.197,0,0,2,2,N,N,Y,37.64857,-84.80317,4,6,6,1,1,2,2,N,1623,1626,N,2019,O,0,0,0,1,0,0,1,1,0,0,0,0
72329321,Motor Vehicle,DAC,20190320,1725,N,Y,5.328,1,0,2,2,N,Y,Y,37.6447,-84.77256,1,2,6,1,1,2,2,Y,1725,1727,N,2019,C,0,0,0,0,0,0,0,1,0,0,0,0
72329461,Motor Vehicle,Non DAC,20190320,1605,N,Y,1.792,0,0,3,3,N,N,Y,37.62885,-84.79757,8,4,6,1,1,2,2,N,1613,1621,N,2019,O,0,1,1,0,0,0,1,0,0,0,0,0
72329496,Motor Vehicle,Non DAC,20190321,547,N,Y,1.792,0,0,2,2,N,N,Y,37.62884,-84.79759,5,4,6,1,5,6,5,N,549,600,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72329516,Motor Vehicle,DAC,20190321,1255,N,Y,0.394,0,0,2,2,N,N,Y,37.61688,-84.78174,4,5,6,1,1,3,2,N,1300,1309,N,2019,O,0,0,0,0,0,0,0,1,0,0,0,0
72329791,Motor Vehicle,DAC,20190321,2239,N,Y,5.521,0,0,2,2,N,N,Y,37.64595,-84.77404,1,7,3,1,1,2,5,N,2239,2241,N,2019,O,0,0,0,0,0,0,0,1,0,0,0,0
